employee_id,employee_name,department,designation,age,city,salary,experience_years,joining_date,performance_score,training_hours,projects_completed,leaves_taken,employment_status
1054,Employee 54,Sales,Business Developer,28,Karachi,89480,8,2019-11-16,62,41,7,14,Active
1055,Employee 55,Sales,Sales Manager,24,Multan,59867,4,2021-03-18,92,6,10,18,Active
1056,Employee 56,IT,Backend Developer,41,Multan,132679,21,2017-06-18,74,59,4,18,Resigned
1057,Employee 57,Marketing,Content Writer,23,Lahore,45207,0,2021-11-11,81,57,16,3,Probation
1058,Employee 58,Operations,Operations Executive,34,Karachi,115575,14,2021-11-20,72,44,16,14,Active
1059,Employee 59,Finance,Tax Officer,29,Hyderabad,91781,7,2017-04-28,84,41,13,10,Active
1060,Employee 60,Finance,Finance Analyst,27,Islamabad,81924,6,2017-02-11,72,43,9,17,Active
1061,Employee 61,Finance,Accountant,36,Islamabad,111606,13,2017-03-12,85,46,16,14,Active
1062,Employee 62,Finance,Audit Assistant,28,Islamabad,95220,7,2023-03-05,85,40,12,13,Active
1063,Employee 63,Operations,Admin Officer,29,Islamabad,72009,8,2018-05-05,62,51,7,10,Active
1064,Employee 64,Finance,Audit Assistant,29,Islamabad,92025,5,2019-03-07,88,43,10,3,Active
1065,Employee 65,HR,Recruiter,30,Karachi,100630,11,2020-04-11,72,7,2,17,Probation
1066,Employee 66,IT,Frontend Developer,39,Hyderabad,147439,18,2019-11-01,83,26,6,1,Active
1067,Employee 67,IT,Backend Developer,36,Islamabad,152983,17,2023-04-25,98,8,5,4,Active
1068,Employee 68,Finance,Audit Assistant,38,Hyderabad,144494,16,2021-12-19,94,19,13,14,Resigned
1069,Employee 69,Marketing,Content Writer,39,Lahore,98924,16,2019-05-15,61,53,7,20,Active
1070,Employee 70,Finance,Audit Assistant,26,Karachi,65985,3,2022-04-09,55,31,15,19,Active
1071,Employee 71,Finance,Finance Analyst,30,Lahore,82320,6,2023-08-13,98,19,9,20,Probation
1072,Employee 72,IT,Python Developer,28,Multan,76792,4,2020-06-13,64,9,2,5,Resigned
1073,Employee 73,HR,HR Officer,24,Islamabad,65954,2,2017-11-26,80,22,16,14,Probation
1074,Employee 74,Operations,Office Assistant,40,Lahore,90991,19,2023-06-19,69,48,1,8,Active
1075,Employee 75,Marketing,Content Writer,41,Multan,117114,19,2022-04-10,92,32,16,2,Probation
1076,Employee 76,HR,HR Officer,42,Lahore,125037,23,2021-06-29,81,49,16,9,Probation
1077,Employee 77,IT,Frontend Developer,29,Lahore,96449,8,2022-03-08,80,60,1,17,Active
1078,Employee 78,Finance,Finance Analyst,32,Multan,106115,9,2019-12-30,83,53,2,6,Active
1079,Employee 79,Marketing,Marketing Executive,24,Islamabad,73885,5,2021-07-30,65,24,1,17,Active
1080,Employee 80,IT,Frontend Developer,24,Islamabad,68165,0,2022-05-31,73,37,9,13,Active
1011,Employee 11,Sales,Business Developer,33,Hyderabad,105008,11,2023-01-09,88,21,1,3,Active
1026,Employee 26,Sales,Business Developer,31,Multan,87332,10,2018-06-21,75,20,9,12,Probation
